fecha,granos_de_polen
2010-01-01,0
2010-01-02,0
2010-01-03,0
2010-01-04,0
2010-01-05,3
2010-01-06,1
2010-01-07,1
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,0
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,1
2010-01-19,1
2010-01-20,3
2010-01-21,2
2010-01-22,0
2010-01-23,2
2010-01-24,0
2010-01-25,0
2010-01-26,1
2010-01-27,0
2010-01-28,0
2010-01-29,1
2010-01-30,0
2010-01-31,3
2010-02-01,1
2010-02-02,1
2010-02-03,1
2010-02-04,0
2010-02-05,5
2010-02-06,1
2010-02-07,0
2010-02-08,4
2010-02-09,2
2010-02-10,5
2010-02-11,2
2010-02-12,0
2010-02-13,1
2010-02-14,0
2010-02-15,0
2010-02-16,0
2010-02-17,0
2010-02-18,0
2010-02-19,1
2010-02-20,1
2010-02-21,0
2010-02-22,1
2010-02-23,2
2010-02-24,1
2010-02-25,0
2010-02-26,2
2010-02-27,2
2010-02-28,9
2010-03-01,3
2010-03-02,3
2010-03-03,5
2010-03-04,15
2010-03-05,10
2010-03-06,1
2010-03-07,1
2010-03-08,1
2010-03-09,0
2010-03-10,2
2010-03-11,0
2010-03-12,3
2010-03-13,4
2010-03-14,4
2010-03-15,5
2010-03-16,29
2010-03-17,71
2010-03-18,17
2010-03-19,54
2010-03-20,11
2010-03-21,2
2010-03-22,11
2010-03-23,24
2010-03-24,8
2010-03-25,3
2010-03-26,2
2010-03-27,17
2010-03-28,9
2010-03-29,25
2010-03-30,6
2010-03-31,8
2010-04-01,3
2010-04-02,1
2010-04-03,4
2010-04-04,4
2010-04-05,5
2010-04-06,0
2010-04-07,0
2010-04-08,11
2010-04-09,4
2010-04-10,6
2010-04-11,3
2010-04-12,16
2010-04-13,0
2010-04-14,2
2010-04-15,4
2010-04-16,3
2010-04-17,1
2010-04-18,1
2010-04-19,3
2010-04-20,15
2010-04-21,5
2010-04-22,5
2010-04-23,14
2010-04-24,12
2010-04-25,9
2010-04-26,8
2010-04-27,11
2010-04-28,16
2010-04-29,10
2010-04-30,31
2010-05-01,19
2010-05-02,0
2010-05-03,0
2010-05-04,8
2010-05-05,1
2010-05-06,10
2010-05-07,20
2010-05-08,2
2010-05-09,0
2010-05-10,19
2010-05-11,25
2010-05-12,23
2010-05-13,8
2010-05-14,4
2010-05-15,9
2010-05-16,19
2010-05-17,21
2010-05-18,38
2010-05-19,53
2010-05-20,41
2010-05-21,59
2010-05-22,77
2010-05-23,166
2010-05-24,278
2010-05-25,502
2010-05-26,358
2010-05-27,239
2010-05-28,112
2010-05-29,62
2010-05-30,181
2010-05-31,105
2010-06-01,125
2010-06-02,93
2010-06-03,109
2010-06-04,147
2010-06-05,180
2010-06-06,188
2010-06-07,110
2010-06-08,128
2010-06-09,3
2010-06-10,11
2010-06-11,10
2010-06-12,3
2010-06-13,1
2010-06-14,18
2010-06-15,28
2010-06-16,3
2010-06-17,1
2010-06-18,19
2010-06-19,22
2010-06-20,35
2010-06-21,15
2010-06-22,31
2010-06-23,45
2010-06-24,28
2010-06-25,8
2010-06-26,6
2010-06-27,18
2010-06-28,11
2010-06-29,10
2010-06-30,11
2010-07-01,15
2010-07-02,4
2010-07-03,1
2010-07-04,4
2010-07-05,22
2010-07-06,21
2010-07-07,10
2010-07-08,18
2010-07-09,17
2010-07-10,17
2010-07-11,10
2010-07-12,22
2010-07-13,13
2010-07-14,5
2010-07-15,11
2010-07-16,14
2010-07-17,8
2010-07-18,5
2010-07-19,12
2010-07-20,11
2010-07-21,16
2010-07-22,3
2010-07-23,7
2010-07-24,2
2010-07-25,10
2010-07-26,6
2010-07-27,4
2010-07-28,4
2010-07-29,3
2010-07-30,2
2010-07-31,6
2010-08-01,3
2010-08-02,2
2010-08-03,1
2010-08-04,5
2010-08-05,0
2010-08-06,1
2010-08-07,1
2010-08-08,1
2010-08-09,1
2010-08-10,2
2010-08-11,3
2010-08-12,2
2010-08-13,2
2010-08-14,2
2010-08-15,1
2010-08-16,2
2010-08-17,1
2010-08-18,2
2010-08-19,2
2010-08-20,1
2010-08-21,2
2010-08-22,2
2010-08-23,3
2010-08-24,1
2010-08-25,2
2010-08-26,2
2010-08-27,1
2010-08-28,1
2010-08-29,3
2010-08-30,3
2010-08-31,2
2010-09-01,4
2010-09-02,1
2010-09-03,1
2010-09-04,2
2010-09-05,1
2010-09-06,3
2010-09-07,2
2010-09-08,2
2010-09-09,1
2010-09-10,1
2010-09-11,2
2010-09-12,1
2010-09-13,1
2010-09-14,1
2010-09-15,3
2010-09-16,2
2010-09-17,0
2010-09-18,1
2010-09-19,1
2010-09-20,1
2010-09-21,0
2010-09-22,1
2010-09-23,1
2010-09-24,0
2010-09-25,2
2010-09-26,0
2010-09-27,0
2010-09-28,0
2010-09-29,0
2010-09-30,0
2010-10-01,1
2010-10-02,1
2010-10-03,1
2010-10-04,0
2010-10-05,0
2010-10-06,0
2010-10-07,0
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,0
2010-10-12,0
2010-10-13,2
2010-10-14,1
2010-10-15,0
2010-10-16,0
2010-10-17,1
2010-10-18,0
2010-10-19,0
2010-10-20,0
2010-10-21,0
2010-10-22,0
2010-10-23,1
2010-10-24,0
2010-10-25,0
2010-10-26,0
2010-10-27,0
2010-10-28,0
2010-10-29,0
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,0
2010-11-03,0
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,0
2010-11-10,0
2010-11-11,1
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,1
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,1
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,1
2010-12-21,0
2010-12-22,1
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,1
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,1
2011-01-02,0
2011-01-03,2
2011-01-04,0
2011-01-05,0
2011-01-06,3
2011-01-07,1
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,1
2011-01-12,1
2011-01-13,2
2011-01-14,1
2011-01-15,3
2011-01-16,1
2011-01-17,4
2011-01-18,0
2011-01-19,0
2011-01-20,1
2011-01-21,1
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,1
2011-01-29,0
2011-01-30,1
2011-01-31,0
2011-02-01,0
2011-02-02,1
2011-02-03,2
2011-02-04,6
2011-02-05,2
2011-02-06,1
2011-02-07,2
2011-02-08,5
2011-02-09,5
2011-02-10,7
2011-02-11,8
2011-02-12,5
2011-02-13,4
2011-02-14,1
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,4
2011-02-19,0
2011-02-20,5
2011-02-21,6
2011-02-22,3
2011-02-23,5
2011-02-24,5
2011-02-25,11
2011-02-26,4
2011-02-27,1
2011-02-28,1
2011-03-01,1
2011-03-02,1
2011-03-03,0
2011-03-04,0
2011-03-05,0
2011-03-06,2
2011-03-07,2
2011-03-08,2
2011-03-09,1
2011-03-10,2
2011-03-11,0
2011-03-12,0
2011-03-13,3
2011-03-14,0
2011-03-15,3
2011-03-16,6
2011-03-17,2
2011-03-18,6
2011-03-19,8
2011-03-20,1
2011-03-21,2
2011-03-22,1
2011-03-23,0
2011-03-24,0
2011-03-25,0
2011-03-26,1
2011-03-27,0
2011-03-28,0
2011-03-29,1
2011-03-30,2
2011-03-31,3
2011-04-01,5
2011-04-02,8
2011-04-03,21
2011-04-04,4
2011-04-05,9
2011-04-06,9
2011-04-07,4
2011-04-08,1
2011-04-09,13
2011-04-10,18
2011-04-11,3
2011-04-12,5
2011-04-13,8
2011-04-14,8
2011-04-15,9
2011-04-16,12
2011-04-17,0
2011-04-18,9
2011-04-19,22
2011-04-20,6
2011-04-21,3
2011-04-22,0
2011-04-23,1
2011-04-24,4
2011-04-25,3
2011-04-26,4
2011-04-27,5
2011-04-28,10
2011-04-29,6
2011-04-30,2
2011-05-01,8
2011-05-02,4
2011-05-03,6
2011-05-04,29
2011-05-05,34
2011-05-06,22
2011-05-07,18
2011-05-08,82
2011-05-09,75
2011-05-10,22
2011-05-11,11
2011-05-12,33
2011-05-13,44
2011-05-14,68
2011-05-15,12
2011-05-16,33
2011-05-17,45
2011-05-18,17
2011-05-19,3
2011-05-20,6
2011-05-21,50
2011-05-22,83
2011-05-23,65
2011-05-24,49
2011-05-25,49
2011-05-26,138
2011-05-27,41
2011-05-28,8
2011-05-29,37
2011-05-30,29
2011-05-31,25
2011-06-01,10
2011-06-02,11
2011-06-03,9
2011-06-04,12
2011-06-05,9
2011-06-06,3
2011-06-07,8
2011-06-08,6
2011-06-09,57
2011-06-10,14
2011-06-11,10
2011-06-12,70
2011-06-13,79
2011-06-14,56
2011-06-15,56
