captador,fecha,tipo_polinico,granos_de_polen
ALER,2010-01-01,Gramíneas,0
ALER,2010-01-02,Gramíneas,0
ALER,2010-01-03,Gramíneas,0
ALER,2010-01-04,Gramíneas,0
ALER,2010-01-05,Gramíneas,1
ALER,2010-01-06,Gramíneas,0
ALER,2010-01-07,Gramíneas,1
ALER,2010-01-08,Gramíneas,0
ALER,2010-01-09,Gramíneas,0
ALER,2010-01-10,Gramíneas,0
ALER,2010-01-11,Gramíneas,0
ALER,2010-01-12,Gramíneas,0
ALER,2010-01-13,Gramíneas,0
ALER,2010-01-14,Gramíneas,0
ALER,2010-01-15,Gramíneas,0
ALER,2010-01-16,Gramíneas,0
ALER,2010-01-17,Gramíneas,0
ALER,2010-01-18,Gramíneas,0
ALER,2010-01-19,Gramíneas,1
ALER,2010-01-20,Gramíneas,0
ALER,2010-01-21,Gramíneas,0
ALER,2010-01-22,Gramíneas,0
ALER,2010-01-23,Gramíneas,0
ALER,2010-01-24,Gramíneas,0
ALER,2010-01-25,Gramíneas,0
ALER,2010-01-26,Gramíneas,0
ALER,2010-01-27,Gramíneas,0
ALER,2010-01-28,Gramíneas,0
ALER,2010-01-29,Gramíneas,0
ALER,2010-01-30,Gramíneas,4
ALER,2010-01-31,Gramíneas,0
ALER,2010-02-01,Gramíneas,0
ALER,2010-02-02,Gramíneas,0
ALER,2010-02-03,Gramíneas,0
ALER,2010-02-04,Gramíneas,0
ALER,2010-02-05,Gramíneas,8
ALER,2010-02-06,Gramíneas,1
ALER,2010-02-07,Gramíneas,0
ALER,2010-02-08,Gramíneas,5
ALER,2010-02-09,Gramíneas,2
ALER,2010-02-10,Gramíneas,1
ALER,2010-02-11,Gramíneas,2
ALER,2010-02-12,Gramíneas,1
ALER,2010-02-13,Gramíneas,0
ALER,2010-02-14,Gramíneas,0
ALER,2010-02-15,Gramíneas,0
ALER,2010-02-16,Gramíneas,0
ALER,2010-02-17,Gramíneas,0
ALER,2010-02-18,Gramíneas,1
ALER,2010-02-19,Gramíneas,1
ALER,2010-02-20,Gramíneas,1
ALER,2010-02-21,Gramíneas,0
ALER,2010-02-22,Gramíneas,1
ALER,2010-02-23,Gramíneas,0
ALER,2010-02-24,Gramíneas,0
ALER,2010-02-25,Gramíneas,1
ALER,2010-02-26,Gramíneas,1
ALER,2010-02-27,Gramíneas,0
ALER,2010-02-28,Gramíneas,2
ALER,2010-03-01,Gramíneas,2
ALER,2010-03-02,Gramíneas,1
ALER,2010-03-03,Gramíneas,0
ALER,2010-03-04,Gramíneas,5
ALER,2010-03-05,Gramíneas,1
ALER,2010-03-06,Gramíneas,0
ALER,2010-03-07,Gramíneas,0
ALER,2010-03-08,Gramíneas,1
ALER,2010-03-09,Gramíneas,0
ALER,2010-03-10,Gramíneas,0
ALER,2010-03-11,Gramíneas,0
ALER,2010-03-12,Gramíneas,0
ALER,2010-03-13,Gramíneas,0
ALER,2010-03-14,Gramíneas,0
ALER,2010-03-15,Gramíneas,1
ALER,2010-03-16,Gramíneas,0
ALER,2010-03-17,Gramíneas,2
ALER,2010-03-18,Gramíneas,0
ALER,2010-03-19,Gramíneas,0
ALER,2010-03-20,Gramíneas,2
ALER,2010-03-21,Gramíneas,1
ALER,2010-03-22,Gramíneas,10
ALER,2010-03-23,Gramíneas,3
ALER,2010-03-24,Gramíneas,2
ALER,2010-03-25,Gramíneas,0
ALER,2010-03-26,Gramíneas,13
ALER,2010-03-27,Gramíneas,1
ALER,2010-03-28,Gramíneas,3
ALER,2010-03-29,Gramíneas,2
ALER,2010-03-30,Gramíneas,0
ALER,2010-03-31,Gramíneas,3
ALER,2010-04-01,Gramíneas,4
ALER,2010-04-02,Gramíneas,1
ALER,2010-04-03,Gramíneas,3
ALER,2010-04-04,Gramíneas,0
ALER,2010-04-05,Gramíneas,0
ALER,2010-04-06,Gramíneas,3
ALER,2010-04-07,Gramíneas,0
ALER,2010-04-08,Gramíneas,0
ALER,2010-04-09,Gramíneas,2
ALER,2010-04-10,Gramíneas,7
ALER,2010-04-11,Gramíneas,6
ALER,2010-04-12,Gramíneas,5
ALER,2010-04-13,Gramíneas,3
ALER,2010-04-14,Gramíneas,0
ALER,2010-04-15,Gramíneas,2
ALER,2010-04-16,Gramíneas,2
ALER,2010-04-17,Gramíneas,1
ALER,2010-04-18,Gramíneas,2
ALER,2010-04-19,Gramíneas,5
ALER,2010-04-20,Gramíneas,8
