fecha,prec,tmin,tmax,dir,velmedia,racha,sol
2010-01-01,0.0,3.8,8.4,28.0,8.9,21.1,3.9
2010-01-02,0.0,3.2,8.0,22.0,2.5,9.7,0.1
2010-01-03,4.9,3.5,7.5,14.0,0.3,6.1,0.0
2010-01-04,8.0,6.8,10.0,26.0,2.5,5.6,0.0
2010-01-05,0.0,6.4,11.0,25.0,2.5,8.3,0.3
2010-01-06,4.9,3.6,7.4,23.0,3.9,9.7,4.8
2010-01-07,5.0,1.0,4.2,3.0,6.7,15.0,0.0
2010-01-08,0.0,-0.4,4.4,1.0,4.4,18.1,8.3
2010-01-09,0.0,-1.8,3.2,30.0,5.8,13.3,8.1
2010-01-10,6.2,-4.2,0.2,20.0,0.6,6.1,0.7
2010-01-11,0.4,-4.0,3.0,22.0,0.0,4.7,7.6
2010-01-12,6.0,0.0,5.8,27.0,1.7,11.4,0.0
2010-01-13,7.3,1.8,10.2,21.0,3.1,8.3,0.0
2010-01-14,0.0,6.2,11.6,24.0,11.4,22.8,6.6
2010-01-15,0.0,3.0,9.4,30.0,0.8,6.7,3.0
2010-01-16,0.0,5.2,9.7,23.0,1.9,5.3,0.0
2010-01-17,0.0,8.2,12.5,25.0,3.1,8.3,0.2
2010-01-18,0.3,7.2,13.6,23.0,3.1,6.1,3.9
2010-01-19,1.5,7.2,12.3,23.0,3.3,10.3,0.0
2010-01-20,0.0,5.6,11.8,27.0,3.1,10.8,5.5
2010-01-21,0.0,0.8,9.4,19.0,1.1,3.6,2.2
2010-01-22,0.6,2.2,8.0,28.0,0.3,3.6,0.3
2010-01-23,0.0,5.4,10.8,12.0,2.5,9.2,3.3
2010-01-24,0.0,5.8,12.2,4.0,2.5,9.7,4.7
2010-01-25,3.8,1.8,9.2,6.0,4.7,13.9,8.6
2010-01-26,0.0,0.5,9.0,4.0,8.3,18.6,6.1
2010-01-27,0.0,-0.6,4.2,4.0,6.9,14.4,3.6
2010-01-28,0.0,-3.0,11.0,1.0,1.4,5.6,9.1
2010-01-29,0.0,0.2,12.4,32.0,4.2,14.4,9.0
2010-01-30,0.0,4.5,12.0,32.0,5.6,13.3,8.5
2010-01-31,0.0,1.4,10.8,31.0,5.6,10.8,5.8
2010-02-01,0.0,0.6,10.6,4.0,1.9,9.7,9.2
2010-02-02,0.0,-2.2,10.4,10.0,0.3,3.6,9.3
2010-02-03,1.5,-1.7,13.3,15.0,0.8,4.2,8.4
2010-02-04,1.8,6.8,10.0,26.0,1.4,17.5,0.0
2010-02-05,0.0,6.2,12.2,27.0,6.9,15.6,8.4
2010-02-06,0.0,5.0,15.0,29.0,6.1,11.9,8.4
2010-02-07,0.0,2.5,12.0,21.0,1.1,5.3,0.6
2010-02-08,2.5,6.4,11.4,27.0,3.9,13.3,1.2
2010-02-09,0.0,3.6,12.4,34.0,5.0,13.9,7.1
2010-02-10,0.0,-0.8,7.4,27.0,2.2,7.8,3.9
2010-02-11,0.0,-1.4,6.8,1.0,2.5,11.4,5.8
2010-02-12,0.0,-3.4,7.0,4.0,1.7,7.2,7.5
2010-02-13,0.0,-1.8,6.0,7.0,4.4,10.3,8.2
