fecha,prec,tmin,tmax,dir,velmedia,racha
2010-01-01,0.1,3.6,7.6,26.0,4.4,16.1
2010-01-02,0.0,2.6,7.5,27.0,1.1,5.8
2010-01-03,6.7,4.2,7.4,16.0,0.8,5.3
2010-01-04,9.5,6.4,9.2,4.0,1.7,6.7
2010-01-05,0.0,6.2,9.8,31.0,0.6,5.3
2010-01-06,5.3,3.6,6.8,23.0,2.8,8.1
2010-01-07,9.3,0.6,3.6,2.0,5.0,16.1
2010-01-08,0.0,-0.2,3.0,,3.6,
2010-01-09,0.0,-1.8,2.4,32.0,2.5,9.7
2010-01-10,4.4,-3.8,0.1,26.0,0.3,4.4
2010-01-11,0.2,-2.8,2.0,22.0,1.7,4.7
2010-01-12,6.2,-0.6,3.8,31.0,1.4,9.2
2010-01-13,10.7,1.4,7.9,26.0,2.2,7.2
2010-01-14,0.0,6.4,10.5,22.0,5.6,17.8
2010-01-15,0.0,2.2,8.0,17.0,1.4,5.6
2010-01-16,0.2,4.4,9.0,23.0,0.6,4.7
2010-01-17,0.0,8.4,11.4,23.0,1.4,6.7
2010-01-18,0.4,8.3,12.8,22.0,1.4,5.8
2010-01-19,2.4,7.0,11.2,24.0,1.9,6.4
2010-01-20,0.0,5.0,12.0,30.0,2.8,9.4
2010-01-21,0.0,3.0,9.0,8.0,0.8,3.3
2010-01-22,0.0,3.4,8.4,18.0,0.8,4.2
2010-01-23,0.0,6.4,10.8,10.0,1.4,7.8
2010-01-24,0.0,6.0,11.5,,,
2010-01-25,5.5,2.1,8.4,5.0,1.9,12.2
2010-01-26,0.0,0.3,8.5,9.0,5.0,16.9
2010-01-27,0.1,0.5,4.3,8.0,3.9,14.4
2010-01-28,0.0,-2.1,9.4,2.0,1.9,9.7
2010-01-29,0.0,-0.2,11.6,32.0,1.9,12.8
2010-01-30,0.0,3.5,10.3,30.0,3.3,13.1
2010-01-31,0.0,3.2,10.2,32.0,2.2,9.4
2010-02-01,0.0,2.5,9.7,7.0,1.9,3.9
2010-02-02,0.0,0.2,9.5,4.0,0.6,5.8
2010-02-03,0.8,0.8,12.6,5.0,1.4,5.8
2010-02-04,3.6,6.2,9.6,25.0,1.1,14.2
2010-02-05,0.0,7.0,12.4,27.0,3.1,14.7
2010-02-06,0.0,5.2,14.0,29.0,3.3,12.5
2010-02-07,0.4,3.8,11.4,21.0,1.4,4.7
2010-02-08,4.8,7.0,11.4,27.0,1.9,8.3
2010-02-09,0.0,3.7,11.6,,,
2010-02-10,0.0,0.8,7.5,4.0,,7.8
2010-02-11,0.0,-1.1,6.1,2.0,1.7,11.7
2010-02-12,0.0,-1.6,6.4,3.0,0.8,8.9
2010-02-13,0.0,-2.2,5.0,15.0,2.5,14.4
2010-02-14,0.0,-3.0,5.2,4.0,0.8,8.1
2010-02-15,17.8,0.4,2.2,5.0,3.1,7.8
2010-02-16,24.9,1.7,6.8,4.0,2.2,8.1
2010-02-17,0.3,4.8,10.2,23.0,4.7,12.8
2010-02-18,0.2,2.2,7.8,27.0,1.9,7.8
2010-02-19,0.3,3.2,8.5,29.0,1.9,11.4
2010-02-20,2.2,1.0,9.6,23.0,3.1,10.0
2010-02-21,11.1,1.8,6.6,4.0,1.7,6.7
2010-02-22,9.1,6.0,11.6,21.0,3.9,14.7
2010-02-23,13.5,6.6,11.4,25.0,2.5,13.3
2010-02-24,1.7,3.7,12.7,25.0,5.3,17.2
2010-02-25,12.6,8.5,12.0,26.0,3.9,15.3
2010-02-26,5.3,4.8,11.2,27.0,1.7,11.1
2010-02-27,1.3,7.0,19.0,26.0,3.9,20.0
2010-02-28,2.4,5.0,12.4,24.0,1.9,14.7
2010-03-01,0.0,4.6,12.3,22.0,3.6,11.7
2010-03-02,4.5,5.5,14.2,15.0,4.7,12.8
2010-03-03,0.6,6.4,13.5,27.0,2.2,10.3
2010-03-04,0.0,5.4,16.0,29.0,1.9,8.1
2010-03-05,34.8,2.8,10.2,9.0,3.9,14.2
2010-03-06,3.0,1.0,5.0,3.0,2.8,8.6
2010-03-07,2.0,4.3,9.0,3.0,1.4,7.5
2010-03-08,0.0,0.2,5.3,3.0,2.8,13.1
2010-03-09,0.0,-1.0,10.2,3.0,2.2,8.9
2010-03-10,0.0,-1.2,8.4,6.0,1.7,9.7
2010-03-11,0.0,-0.2,8.2,3.0,1.1,9.2
2010-03-12,0.0,3.0,6.0,2.0,1.7,7.5
2010-03-13,0.0,-1.6,10.6,8.0,0.8,6.1
2010-03-14,0.0,1.7,13.2,8.0,2.5,9.7
2010-03-15,0.0,2.3,15.8,4.0,1.7,5.3
2010-03-16,0.0,4.8,18.0,4.0,2.5,6.7
2010-03-17,0.0,5.9,18.6,10.0,2.2,7.8
2010-03-18,0.2,8.6,17.7,11.0,1.1,5.3
2010-03-19,0.9,9.8,16.2,23.0,1.4,6.9
2010-03-20,0.0,11.6,18.8,21.0,1.7,14.4
2010-03-21,0.5,9.8,16.5,23.0,1.7,6.4
2010-03-22,0.0,8.0,19.5,18.0,0.3,5.0
2010-03-23,0.0,9.6,18.6,18.0,1.7,8.6
2010-03-24,6.8,10.0,18.9,26.0,1.7,17.2
2010-03-25,3.3,6.2,12.5,23.0,3.1,13.3
2010-03-26,0.0,4.4,11.8,22.0,4.2,14.7
2010-03-27,0.0,5.6,16.5,28.0,2.8,8.9
2010-03-28,0.0,7.4,18.8,26.0,2.2,6.4
2010-03-29,2.9,8.8,14.4,23.0,3.9,16.7
2010-03-30,0.2,5.4,13.4,24.0,3.3,11.7
2010-03-31,0.0,4.4,14.4,23.0,3.1,13.3
2010-04-01,0.0,5.2,14.0,31.0,1.1,4.4
2010-04-02,0.0,3.9,16.0,23.0,2.2,8.3
2010-04-03,2.7,6.1,13.2,27.0,1.7,10.0
2010-04-04,0.0,3.4,15.6,23.0,1.4,6.7
2010-04-05,0.0,5.6,18.6,17.0,3.9,10.0
2010-04-06,0.0,6.4,18.4,17.0,0.6,6.1
2010-04-07,0.0,8.4,17.1,4.0,3.3,10.8
2010-04-08,0.0,5.0,19.5,9.0,1.4,8.9
2010-04-09,0.0,6.2,19.0,4.0,3.1,10.0
2010-04-10,0.0,8.2,20.6,9.0,2.5,8.9
